banishing: ['-29.57', '-203.85', '-207.34']
incite: ['-62.32', '-426.75', '-79.91']
project: ['-16.54', '-479.81', '-193.63']
flight: ['-1048.14', '-0.40', '-552.11']
stinking: ['-17.96', '-318.64', '-209.50']
dagger(s: ['-165.70', '-108.84', '-74.96']
scatter: ['-0.93', '-468.32', '-1045.90']
awaken: ['-15.68', '-261.84', '-262.80']
hope: ['-364.70', '-2.64', '-1202.89']
arcane: ['-64.40', '-167.09', '-124.92']
guardian: ['-77.08', '-178.92', '-99.36']
plague: ['-108.70', '-211.98', '-61.11']
hellish: ['-11.95', '-225.09', '-491.03']
message: ['-371.13', '-36.37', '-127.14']
pulse: ['-251.69', '-567.71', '-8.79']
hallucination: ['-850.34', '-0.94', '-468.89']
flare: ['-613.22', '-723.90', '-0.29']
rebuke: ['-62.32', '-426.75', '-79.91']
door: ['-268.52', '-1221.48', '-7.07']
faithful: ['-22.50', '-160.75', '-680.39']
dominate: ['-0.39', '-609.87', '-639.48']
memory: ['-423.77', '-70.06', '-71.49']
slow: ['-184.42', '-21.82', '-327.27']
call: ['-2.77', '-825.80', '-360.81']
favor: ['-419.84', '-76.46', '-65.50']
identify: ['-38.52', '-114.15', '-798.81']
reincarnation: ['-208.17', '-13.82', '-544.38']
sight: ['-215.90', '-16.78', '-324.34']
objects: ['-809.02', '-1.63', '-414.38']
static: ['-446.94', '-1.16', '-956.56']
bond: ['-59.58', '-80.25', '-731.54']
flesh: ['-104.36', '-45.76', '-419.99']
eldritch: ['-159.35', '-31.45', '-270.88']
find: ['-0.00', '-1294.82', '-2549.11']
spike(s: ['-165.70', '-108.84', '-74.96']
resistance: ['-53.49', '-249.26', '-110.40']
crusader: ['-0.57', '-709.18', '-532.77']
hypnosis: ['-492.57', '-13.84', '-210.39']
lock: ['-982.37', '-567.01', '-0.35']
true: ['-3.77', '-329.66', '-1810.20']
sending: ['-150.19', '-25.76', '-543.41']
greater: ['-35.47', '-120.86', '-1051.66']
aberration: ['-503.80', '-1.31', '-503.39']
maelstrom: ['-809.24', '-99.68', '-46.10']
grasp: ['-81.59', '-352.36', '-63.81']
banishment: ['-851.11', '-1.44', '-426.14']
spell: ['-516.59', '-11.59', '-226.58']
lance: ['-220.88', '-62.85', '-103.06']
