actor: ['-815.29', '-251.10', '-8.50']
powered: ['-0.00', '-1442.28', '-1376.16']
fixes: ['-16.75', '-255.69', '-256.86']
helicopter: ['-680.10', '-67.50', '-71.39']
boxing: ['-589.41', '-384.34', '-2.45']
remedy: ['-2.69', '-363.05', '-1062.04']
humanity: ['-416.71', '-2.39', '-481.44']
developing: ['-26.48', '-176.13', '-280.01']
wondering: ['-738.23', '-0.12', '-750.03']
housing: ['-70.76', '-355.98', '-73.67']
underwear: ['-47.08', '-176.03', '-159.21']
lyric: ['-1.39', '-439.60', '-650.75']
mental: ['-27.56', '-142.41', '-905.36']
lead: ['-0.00', '-1595.52', '-1702.67']
loving: ['-511.30', '-0.80', '-622.05']
calculation: ['-1037.99', '-0.00', '-1292.83']
poster: ['-245.40', '-9.20', '-624.09']
disciplines: ['-348.30', '-5.69', '-370.54']
pins: ['-802.98', '-596.39', '-0.29']
amateur: ['-135.19', '-128.73', '-76.53']
cement: ['-1273.64', '-0.00', '-1075.37']
web: ['-485.11', '-0.97', '-630.58']
folding: ['-74.13', '-269.86', '-78.48']
guide: ['-0.01', '-960.82', '-1071.60']
bend: ['-677.08', '-128.83', '-32.42']
calm: ['-1.42', '-499.42', '-491.66']
finance: ['-44.63', '-102.91', '-593.56']
short: ['-0.00', '-1283.20', '-1645.53']
reseller: ['-0.07', '-1096.64', '-730.00']
processor: ['-95.71', '-49.35', '-520.32']
supplier: ['-0.04', '-1184.28', '-785.11']
restored: ['-0.54', '-612.25', '-575.64']
cabinets: ['-0.80', '-620.73', '-513.09']
varies: ['-318.28', '-4.25', '-908.72']
rural: ['-826.09', '-529.34', '-0.53']
infants: ['-430.62', '-243.50', '-10.66']
fuck: ['-564.26', '-21.89', '-164.48']
privilege: ['-258.10', '-319.01', '-12.43']
passage: ['-264.61', '-246.12', '-16.99']
conventions: ['-512.03', '-1.05', '-540.70']
richards: ['-1.42', '-490.78', '-500.76']
voting: ['-455.84', '-2.99', '-396.55']
museums: ['-17.42', '-511.70', '-187.14']
nation: ['-1100.76', '-713.28', '-0.08']
taxes: ['-1076.54', '-0.00', '-1639.42']
reply: ['-0.39', '-559.09', '-888.72']
molecular: ['-363.57', '-2.68', '-911.33']
bonus: ['-0.00', '-1167.55', '-1076.73']
paxil: ['-1542.02', '-1.46', '-423.07']
bahamas: ['-29.15', '-328.13', '-153.58']
assistance: ['-98.51', '-62.26', '-240.75']
damaged: ['-0.76', '-612.60', '-522.72']
ping: ['-2.59', '-670.90', '-371.44']
reject: ['-135.61', '-62.72', '-156.90']
ratings: ['-434.51', '-12.28', '-227.70']
pays: ['-279.18', '-42.25', '-126.14']
lamps: ['-0.00', '-1231.28', '-1304.76']
timeline: ['-517.66', '-5.99', '-294.73']
occasional: ['-169.42', '-23.10', '-379.51']
greetings: ['-318.72', '-7.01', '-363.45']
plot: ['-49.73', '-105.31', '-314.69']
aspect: ['-273.85', '-133.93', '-39.55']
pharmacies: ['-623.75', '-130.19', '-32.02']
organised: ['-0.11', '-763.07', '-747.68']
advances: ['-524.38', '-323.67', '-4.56']
gathered: ['-8.90', '-247.45', '-694.83']
allied: ['-2.69', '-369.50', '-639.25']
surrounding: ['-151.72', '-273.21', '-33.46']
cell: ['-45.47', '-1056.82', '-100.69']
deaf: ['-1391.38', '-980.23', '-0.01']
triple: ['-61.83', '-796.84', '-77.48']
gets: ['-902.51', '-1073.11', '-0.01']
tie: ['-741.30', '-33.22', '-126.56']
criminal: ['-298.80', '-5.24', '-732.78']
sphere: ['-184.71', '-715.37', '-17.25']
wired: ['-3.35', '-650.54', '-346.07']
aircraft: ['-623.78', '-1.90', '-408.41']
dev: ['-218.87', '-686.76', '-12.00']
people: ['-342.36', '-219.01', '-15.61']
register: ['-15.94', '-210.07', '-369.06']
advertiser: ['-62.42', '-94.02', '-260.65']
arbitration: ['-202.31', '-29.11', '-211.76']
map: ['-1189.57', '-3.30', '-342.66']
thickness: ['-529.99', '-103.32', '-44.76']
eagles: ['-668.30', '-0.55', '-545.97']
crap: ['-965.35', '-0.01', '-947.98']
urgent: ['-0.31', '-590.73', '-784.69']
comic: ['-448.25', '-1.22', '-705.18']
employment: ['-734.18', '-37.73', '-115.95']
departure: ['-77.79', '-85.76', '-215.04']
eligibility: ['-1195.89', '-0.15', '-652.00']
seeker: ['-30.61', '-662.51', '-133.81']
instructional: ['-93.41', '-52.16', '-430.29']
requests: ['-926.25', '-381.95', '-2.23']
corrected: ['-6.02', '-284.08', '-1217.19']
journey: ['-19.76', '-490.92', '-176.08']
suse: ['-165.70', '-108.84', '-74.96']
comparisons: ['-51.18', '-94.31', '-449.25']
oriental: ['-0.03', '-857.69', '-968.53']
evaluations: ['-801.60', '-0.10', '-730.64']
developed: ['-11.79', '-229.58', '-455.45']
arrangement: ['-5.38', '-314.02', '-469.98']
travels: ['-20.72', '-348.53', '-185.48']
officer: ['-494.02', '-39.43', '-114.36']
benefits: ['-423.78', '-79.46', '-62.78']
graphical: ['-206.57', '-15.10', '-431.39']
float: ['-16.02', '-217.30', '-337.59']
beer: ['-762.63', '-86.86', '-54.48']
releases: ['-2.76', '-734.73', '-362.68']
brings: ['-2.88', '-598.02', '-365.63']
belly: ['-28.33', '-500.84', '-142.70']
view: ['-258.38', '-8.28', '-552.85']
delight: ['-5.08', '-421.54', '-335.80']
discussion: ['-161.73', '-22.14', '-872.18']
extension: ['-255.85', '-115.51', '-49.83']
finals: ['-973.28', '-410.73', '-1.66']
expansys: ['-165.70', '-108.84', '-74.96']
whale: ['-5.97', '-1234.09', '-284.87']
liberal: ['-696.44', '-0.10', '-923.23']
young: ['-477.48', '-41.41', '-110.67']
emissions: ['-68.01', '-70.89', '-667.98']
goods: ['-505.07', '-0.64', '-1167.17']
greenhouse: ['-124.25', '-141.79', '-75.69']
flow: ['-648.41', '-3.44', '-343.22']
shooting: ['-963.74', '-4.52', '-311.98']
defense: ['-146.06', '-26.45', '-806.12']
note: ['-46.37', '-160.77', '-176.81']
guarantees: ['-2.60', '-488.72', '-400.95']
subdivision: ['-220.37', '-39.32', '-153.85']
breeding: ['-263.75', '-22.72', '-202.73']
fibre: ['-24.45', '-842.96', '-152.95']
governor: ['-862.67', '-0.07', '-759.74']
guatemala: ['-31.36', '-211.82', '-190.42']
medline: ['-517.66', '-5.99', '-294.73']
mode: ['-1374.80', '-1410.34', '-0.00']
acne: ['-522.49', '-0.95', '-551.19']
prayer: ['-13.87', '-212.58', '-459.04']
subsequent: ['-4.08', '-363.44', '-430.12']
facing: ['-26.47', '-234.22', '-199.15']
mailing: ['-0.20', '-632.59', '-863.57']
poll: ['-640.22', '-7.86', '-260.49']
initiative: ['-11.24', '-264.43', '-334.53']
specialist: ['-1.12', '-475.81', '-597.16']
arbitrary: ['-218.33', '-12.25', '-592.73']
reunion: ['-722.27', '-0.11', '-784.39']
convicted: ['-175.70', '-56.15', '-135.83']
acre: ['-1003.94', '-672.44', '-0.12']
norm: ['-1007.45', '-166.13', '-21.07']
warned: ['-26.17', '-289.44', '-174.34']
physician: ['-410.99', '-42.13', '-111.66']
rw: ['-1055.66', '-0.00', '-2425.10']
improving: ['-4.16', '-320.26', '-951.93']
weekend: ['-200.69', '-244.97', '-24.94']
phi: ['-243.47', '-343.45', '-12.77']
bottom: ['-231.40', '-165.14', '-34.34']
proxy: ['-575.80', '-505.61', '-0.96']
advocacy: ['-32.26', '-529.06', '-130.68']
brought: ['-0.33', '-573.04', '-1059.50']
beast: ['-292.52', '-7.19', '-415.20']
devil: ['-151.70', '-170.51', '-51.27']
fence: ['-1260.52', '-0.05', '-770.85']
reforms: ['-367.95', '-205.75', '-16.61']
dawn: ['-427.85', '-19.03', '-183.61']
opponent: ['-579.20', '-122.74', '-35.11']
enjoy: ['-618.94', '-1068.29', '-0.21']
chairs: ['-167.99', '-534.15', '-21.22']
passive: ['-0.57', '-573.18', '-602.36']
player: ['-1316.45', '-1278.78', '-0.00']
spotlight: ['-48.16', '-191.26', '-145.04']
comparison: ['-95.89', '-48.45', '-726.56']
threesome: ['-59.94', '-322.86', '-88.85']
string: ['-29.87', '-659.95', '-135.92']
mapping: ['-66.83', '-197.13', '-105.51']
red: ['-199.55', '-52.37', '-130.30']
strikes: ['-238.79', '-682.21', '-9.75']
activists: ['-46.44', '-356.40', '-106.96']
